文件夹,名称,经纬度[经度 + 纬度],线条宽度,线条颜色,线条不透明度,闭合,线型,轨迹风格,轨迹类别,显示级别,叠放层次,对象ID,所属区域,Comment
/桥梁,桥梁3-1-桥梁3-2,"113.57019533,25.99112858;113.57035521,25.99103348",3,0X00FF0000,50,0,0,4,无,1-0,0,959202237,无,
/桥梁,桥梁4-1-桥梁4-2,"113.57276005,25.99380101;113.57289526,25.99364451",3,0X00FF0000,50,0,0,4,无,1-0,0,1562997206,无,
/桥梁,桥梁5-1-桥梁5-2,"113.58741440,25.99689176;113.58753272,25.99679959",3,0X00FF0000,50,0,0,4,无,1-0,0,340352346,无,
/桥梁,桥梁6-1-桥梁6-2,"113.58919125,26.00366946;113.58935633,26.00373620;113.58943821,26.00373985",3,0X00FF0000,50,0,0,4,无,1-0,0,1026330287,无,
/桥梁,桥梁2-1-桥梁2-2,"113.54863158,25.98451654;113.54871094,25.98416565;113.54870960,25.98404862",3,0X00FF0000,50,0,0,4,无,1-0,0,158854181,无,
/桥梁,桥梁1-1-桥梁1-2,"113.53590166,25.97419697;113.53564261,25.97394098",3,0X00FF0000,50,0,0,4,无,1-0,0,1784012321,无,
/桥梁,桥梁7-1-桥梁7-2,"113.60407565,26.01297843;113.60407835,26.01275288",3,0X00FF0000,50,0,0,4,无,1-0,0,20190348,无,
/桥梁,桥梁8-1-桥梁8-2,"113.61199959,26.01502771;113.61193525,26.01479136",3,0X00FF0000,50,0,0,4,无,1-0,0,363117900,无,
