文件夹,名称,经度,纬度,海拔,文本显示风格,图标样式,显示级别,叠放层次,图标颜色及不透明度,图标比例,对象ID,附件ID与名称,所属区域,Comment
/地质灾害点,landSpli_line,113.5555351,25.99950748,0,0,4,1-0,0,0X00000000,0,1498591099,,无,
/地质灾害点,landSpli_line,113.5698661,26.0008141,0,0,4,1-0,0,0X00000000,0,1806280090,,无,
/地质灾害点,landSpli_line,113.5693753,26.00207732,0,0,4,1-0,0,0X00000000,0,92696707,,无,
/地质灾害点,landSpli_line,113.5695657,26.00393597,0,0,4,1-0,0,0X00000000,0,891719449,,无,
/地质灾害点,landSpli_line,113.5686135,26.00570056,0,0,4,1-0,0,0X00000000,0,1353399081,,无,
/地质灾害点,landSpli_line,113.556093,26.02198328,0,0,4,1-0,0,0X00000000,0,270571535,,无,
/地质灾害点,landSpli_line,113.574214,25.99958462,0,0,4,1-0,0,0X00000000,0,2149541635,,无,
/地质灾害点,landSpli_line,113.569606,25.96488863,0,0,4,1-0,0,0X00000000,0,707536897,,无,
/地质灾害点,landSpli_line,113.5720789,25.97472462,0,0,4,1-0,0,0X00000000,0,877582421,,无,
/地质灾害点,landSpli_line,113.5764617,25.97250141,0,0,4,1-0,0,0X00000000,0,42756354,,无,
/地质灾害点,landSpli_line,113.5636568,25.98433315,0,0,4,1-0,0,0X00000000,0,870068648,,无,
/地质灾害点,landSpli_line,113.5556772,25.97907448,0,0,4,1-0,0,0X00000000,0,740977777,,无,
/地质灾害点,landSpli_line,113.5454446,25.95899485,0,0,4,1-0,0,0X00000000,0,657339040,,无,
/地质灾害点,landSpli_line,113.553628,25.95386527,0,0,4,1-0,0,0X00000000,0,845815757,,无,
/地质灾害点,landSpli_line,113.5550644,25.95505423,0,0,4,1-0,0,0X00000000,0,729709861,,无,
/地质灾害点,landSpli_line,113.6243391,25.9925257,0,0,4,1-0,0,0X00000000,0,131372291,,无,
/地质灾害点,landSpli_line,113.6292824,25.99504748,0,0,4,1-0,0,0X00000000,0,1429236834,,无,
/地质灾害点,landSpli_line,113.6209126,25.98886468,0,0,4,1-0,0,0X00000000,0,437805941,,无,
/地质灾害点,landSpli_line,113.6228585,25.99048123,0,0,4,1-0,0,0X00000000,0,1579147772,,无,
/地质灾害点,landSpli_line,113.6073661,25.98713479,0,0,4,1-0,0,0X00000000,0,853476992,,无,
/地质灾害点,landSpli_line,113.5968465,25.99278125,0,0,4,1-0,0,0X00000000,0,1825985424,,无,
/地质灾害点,landSpli_line,113.598311,25.99216406,0,0,4,1-0,0,0X00000000,0,498203786,,无,
/地质灾害点,landSpli_line,113.6213484,25.98782675,0,0,4,1-0,0,0X00000000,0,1430620355,,无,
/地质灾害点,landSpli_line,113.6160377,25.98528311,0,0,4,1-0,0,0X00000000,0,1237542034,,无,
/地质灾害点,landSpli_line,113.5203981,26.00154696,0,0,4,1-0,0,0X00000000,0,687021057,,无,
/地质灾害点,landSpli_line,113.5894489,26.00250402,0,0,4,1-0,0,0X00000000,0,1507479287,,无,
/地质灾害点,landSpli_line,113.6064488,26.01488714,0,0,4,1-0,0,0X00000000,0,1867999810,,无,
/地质灾害点,landSpli_line,113.6248541,26.02218575,0,0,4,1-0,0,0X00000000,0,42792454,,无,
/地质灾害点,landSpli_line,113.5894865,25.97368054,0,0,4,1-0,0,0X00000000,0,195432465,,无,
/地质灾害点,landSpli_line,113.5902214,25.97858018,0,0,4,1-0,0,0X00000000,0,1723470953,,无,
/地质灾害点,landSpli_line,113.5210794,25.99307056,0,0,4,1-0,0,0X00000000,0,2040550644,,无,
/地质灾害点,landSpli_line,113.5919005,25.99553206,0,0,4,1-0,0,0X00000000,0,249143945,,无,
/地质灾害点,Landslip—road,113.5566187,25.9856303,0,0,4,1-0,0,0X00000000,0,1121909075,,无,
