文件夹,名称,经纬度[经度 + 纬度],线条宽度,线条颜色,线条不透明度,闭合,线型,轨迹风格,轨迹类别,显示级别,叠放层次,对象ID,所属区域,Comment
/道路,道路28-29,"113.57309116,25.99661703;113.57353445,25.99639555;113.57367145,25.99635228;113.57372652,25.99633544;113.57384070,25.99635607;113.57396292,25.99640566;113.57414424,25.99659886;113.57417110,25.99662060;113.57478091,25.99632932;113.57497970,25.99617874",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1704462335,无,
/道路,道路29-30,"113.57497434,25.99616788;113.57573450,25.99645815;113.57622874,25.99662268;113.57660613,25.99668577",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1768940887,无,
/道路,道路30-31,"113.57660613,25.99668577;113.57679818,25.99664252;113.57720109,25.99656570;113.57728436,25.99653682;113.57729779,25.99650305;113.57730317,25.99631729;113.57733809,25.99619670;113.57745629,25.99608824",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1691081552,无,
/道路,道路30-32,"113.57660613,25.99668577;113.57666656,25.99671598;113.57684787,25.99673907;113.57717556,25.99673816;113.57737701,25.99677333;113.57768319,25.99685564;113.57808740,25.99699954;113.57819752,25.99701411;113.57880049,25.99698086;113.57890389,25.99697009;113.57901938,25.99692918;113.57906638,25.99689544;113.57908653,25.99682308;113.57902746,25.99657574;113.57904627,25.99646840;113.57912147,25.99637437;113.57933903,25.99619964;113.57942363,25.99614905;113.57994869,25.99592028;113.58039317,25.99575899;113.58046030,25.99575301;113.58081076,25.99578826;113.58098398,25.99575823;113.58152511,25.99559579;113.58165670,25.99552110;113.58203804,25.99519566;113.58223678,25.99485684;113.58234554,25.99474232;113.58244490,25.99469413;113.58256977,25.99464717;113.58266241,25.99462311;113.58288529,25.99459672",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1048217624,无,
/道路,道路32-33,"113.58287589,25.99460395;113.58301420,25.99433504;113.58309075,25.99410107;113.58313371,25.99405284;113.58363855,25.99374677",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1417502438,无,
/道路,道路33-34,"113.58287589,25.99460395;113.58307863,25.99463545;113.58339681,25.99472010;113.58365592,25.99479143;113.58389219,25.99492910;113.58391905,25.99496772;113.58397005,25.99513300;113.58392171,25.99532116;113.58373776,25.99564674;113.58368940,25.99594467;113.58368670,25.99612922;113.58376320,25.99655267;113.58385716,25.99681932;113.58415114,25.99726823;113.58433100,25.99774964;113.58449878,25.99812609;113.58471088,25.99838074;113.58490285,25.99853525",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1953720710,无,
/道路,道路34-35,"113.58490285,25.99853525;113.58649505,25.99749390",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,2147333403,无,
/道路,道路35-36,"113.58649505,25.99749390;113.58682251,25.99856523",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1316016942,无,
/道路,道路35-37,"113.58649505,25.99749390;113.58741191,25.99690086;113.58755286,25.99677426;113.58788845,25.99657900;113.58855289,25.99626806",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,2071967551,无,
/道路,道路37-38,"113.58855289,25.99626806;113.58847641,25.99602798;113.58819724,25.99575524;113.58798248,25.99559110;113.58775162,25.99545106;113.58762545,25.99541241;113.58695965,25.99542174;113.58686032,25.99538792;113.58675025,25.99536856;113.58671535,25.99534442;113.58668315,25.99508143",6,0XFAFFFFFF,100,0,0,4,无,1-0,0,1350625079,无,
