"文件夹","名称","经度","纬度","海拔","文本显示风格","图标样式","显示级别","叠放层次","图标颜色及不透明度","图标比例","对象ID","附件ID与名称","所属区域","Comment"
"/道路节点","道路节点56","113.60664859","25.97843915","0","1","5","1-0","0","0X00000000","0.0","1722403151","","无",""
"/道路节点","道路节点57","113.61043453","25.97519724","0","1","5","1-0","0","0X00000000","0.0","1303855549","","无",""
"/道路节点","道路节点58","113.60848672","25.97481905","0","1","5","1-0","0","0X00000000","0.0","181631469","","无",""
"/道路节点","道路节点59","113.59334884","25.97765432","0","1","5","1-0","0","0X00000000","0.0","1000536422","","无",""
"/道路节点","道路节点60","113.59292838","25.97469074","0","1","5","1-0","0","0X00000000","0.0","1379891412","","无",""
"/道路节点","道路节点61","113.59384645","25.97205347","0","1","5","1-0","0","0X00000000","0.0","136450110","","无",""
"/道路节点","道路节点62","113.59132614","25.97296503","0","1","5","1-0","0","0X00000000","0.0","1576994599","","无",""
"/道路节点","道路节点63","113.57052716","25.99093356","0","1","5","1-0","0","0X00000000","0.0","1473231356","","无",""
"/道路节点","道路节点64","113.57252687","25.99409037","0","1","5","1-0","0","0X00000000","0.0","606908768","","无",""
"/道路节点","道路节点65","113.57421283","25.99532992","0","1","5","1-0","0","0X00000000","0.0","1084536520","","无",""
"/道路节点","道路节点66","113.57481344","25.99574180","0","1","5","1-0","0","0X00000000","0.0","719871694","","无",""
"/道路节点","道路节点67","113.56482418","25.98373958","0","1","5","1-0","0","0X00000000","0.0","1534307100","","无",""
"/道路节点","道路节点68","113.56528223","25.97940481","0","1","5","1-0","0","0X00000000","0.0","1074609362","","无",""
"/道路节点","道路节点69","113.57471018","25.97380474","0","1","5","1-0","0","0X00000000","0.0","246377698","","无",""
"/道路节点","道路节点70","113.57786715","25.96361537","0","1","5","1-0","0","0X00000000","0.0","700212595","","无",""
"/道路节点","道路节点71","113.57546227","25.97259048","0","1","5","1-0","0","0X00000000","0.0","1298390510","","无",""
"/道路节点","道路节点72","113.56694192","25.94620531","0","1","5","1-0","0","0X00000000","0.0","1947181539","","无",""
"/道路节点","道路节点73","113.56911033","25.94757426","0","1","5","1-0","0","0X00000000","0.0","322797911","","无",""
"/道路节点","道路节点74","113.56584477","25.93775355","0","1","5","1-0","0","0X00000000","0.0","1437539912","","无",""
"/道路节点","道路节点75","113.59378172","25.93979019","0","1","5","1-0","0","0X00000000","0.0","1996419647","","无",""
"/道路节点","道路节点76","113.59462302","25.94054339","0","1","5","1-0","0","0X00000000","0.0","1814318343","","无",""
"/道路节点","道路节点77","113.59367955","25.94223282","0","1","5","1-0","0","0X00000000","0.0","1875728458","","无",""
"/道路节点","道路节点78","113.60049531","25.94288107","0","1","5","1-0","0","0X00000000","0.0","976935086","","无",""
"/道路节点","道路节点79","113.60210237","25.94245602","0","1","5","1-0","0","0X00000000","0.0","2135700006","","无",""
"/道路节点","道路节点80","113.62223534","25.94672808","0","1","5","1-0","0","0X00000000","0.0","808612233","","无",""
"/道路节点","道路节点81","113.54701371","25.93246489","0","1","5","1-0","0","0X00000000","0.0","843514881","","无",""
"/道路节点","道路节点82","113.56083557","25.98365621","0","1","5","1-0","0","0X00000000","0.0","2129225576","","无",""
"/道路节点","道路节点83","113.56052381","25.98285465","0","1","5","1-0","0","0X00000000","0.0","1622177832","","无",""
"/道路节点","道路节点84","113.55972871","25.98414026","0","1","5","1-0","0","0X00000000","0.0","1980071056","","无",""
"/道路节点","道路节点85","113.55904873","25.98346027","0","1","5","1-0","0","0X00000000","0.0","355737990","","无",""
"/道路节点","道路节点86","113.55806935","25.98493638","0","1","5","1-0","0","0X00000000","0.0","1130492713","","无",""
"/道路节点","道路节点87","113.55207904","25.98495544","0","1","5","1-0","0","0X00000000","0.0","861053616","","无",""
"/道路节点","道路节点88","113.55535692","25.98182743","0","1","5","1-0","0","0X00000000","0.0","1807939708","","无",""
"/道路节点","道路节点89","113.55383545","25.97727867","0","1","5","1-0","0","0X00000000","0.0","1557523980","","无",""
